round_idx,client_id,selected,is_attacker,train_loss,train_acc,update_norm
1,0,True,False,2.2412772178649902,0.258,0.23045139014720917
1,1,True,False,2.236955765406291,0.293,0.2321646362543106
1,2,True,False,2.235989060084025,0.251,0.23274429142475128
1,3,True,False,2.2369544092814126,0.2643333333333333,0.23164156079292297
1,4,True,False,2.236230879465739,0.26166666666666666,0.2308129370212555
1,5,True,False,2.2377559407552083,0.22533333333333333,0.22975288331508636
1,6,True,False,2.238048309961955,0.26166666666666666,0.23102085292339325
1,7,True,False,2.2331893660227458,0.272,0.2359199970960617
1,8,True,False,2.2354883619944252,0.269,0.23441772162914276
1,9,True,False,2.237964152018229,0.225,0.22802773118019104
1,10,True,False,2.2376521498362223,0.249,0.22924774885177612
1,11,True,False,2.2371678167978923,0.2763333333333333,0.2358352243900299
1,12,True,False,2.238283032735189,0.25133333333333335,0.23082977533340454
1,13,True,False,2.2383420600891113,0.23866666666666667,0.23258735239505768
1,14,True,False,2.233478766123454,0.25266666666666665,0.23758938908576965
1,15,True,False,2.2380847193400064,0.25833333333333336,0.231668159365654
1,16,True,False,2.2296533845265705,0.254,0.23802514374256134
1,17,True,False,2.234990713119507,0.26766666666666666,0.23446986079216003
1,18,True,False,2.2333609167734783,0.26666666666666666,0.2333718091249466
1,19,True,False,2.2315069961547853,0.2643333333333333,0.23913109302520752
2,0,True,False,1.9185361445744833,0.6456666666666667,0.41512060165405273
2,1,True,False,1.9135791568756104,0.633,0.41488781571388245
2,2,True,False,1.9239356959660847,0.583,0.40350601077079773
2,3,True,False,1.9124893112182617,0.6053333333333333,0.41663530468940735
2,4,True,False,1.9080970039367675,0.6203333333333333,0.4189154803752899
2,5,True,False,1.930688073158264,0.593,0.4017297327518463
2,6,True,False,1.9174423637390137,0.6243333333333333,0.41494834423065186
2,7,True,False,1.8998678544362386,0.6323333333333333,0.42444702982902527
2,8,True,False,1.9048379675547282,0.6436666666666667,0.4248349070549011
2,9,True,False,1.9246185970306398,0.6256666666666667,0.40628811717033386
2,10,True,False,1.9153567657470703,0.6423333333333333,0.4107394218444824
2,11,True,False,1.9107574036916097,0.636,0.42296409606933594
2,12,True,False,1.9164209047953287,0.627,0.41503429412841797
2,13,True,False,1.9156268571217854,0.631,0.41419097781181335
2,14,True,False,1.9048432257970174,0.638,0.4204311668872833
2,15,True,False,1.9187390696207682,0.628,0.41497382521629333
2,16,True,False,1.9035489241282144,0.629,0.42258772253990173
2,17,True,False,1.9163587640126547,0.611,0.4138154685497284
2,18,True,False,1.9087396097183227,0.6226666666666667,0.4173094928264618
2,19,True,False,1.8976967309316,0.636,0.4206913113594055
3,0,True,False,1.6314949874877929,0.597,0.47013312578201294
3,1,True,False,1.5582148246765137,0.6206666666666667,0.4494650661945343
3,2,True,False,1.4659771585464478,0.6243333333333333,0.4638279974460602
3,3,True,False,1.503821416536967,0.6096666666666667,0.4873526990413666
3,4,True,False,1.5060514132181804,0.6116666666666667,0.4444234073162079
3,5,True,False,1.6482357981999716,0.5703333333333334,0.5148464441299438
3,6,True,False,1.5446694898605347,0.619,0.4935307204723358
3,7,True,False,1.5563561369578043,0.6016666666666667,0.48719292879104614
3,8,True,False,1.4499634787241618,0.6266666666666667,0.4708164930343628
3,9,True,False,1.5384381586710612,0.6223333333333333,0.43672171235084534
3,10,True,False,1.611833766301473,0.557,0.44864922761917114
3,11,True,False,1.5702102540334066,0.611,0.4501967430114746
3,12,True,False,1.6253362846374513,0.591,0.4731999635696411
3,13,True,False,1.573323257446289,0.6233333333333333,0.44641953706741333
3,14,True,False,1.5908372208277384,0.582,0.5303593873977661
3,15,True,False,1.5246202351252238,0.6316666666666667,0.4765154719352722
